Date,Date Value,High,Low,Open,Close,Volume,Adj Close
5/31/2019,43616,3.150000095,3,3.069999933,3.049999952,39383300,3.049999952
6/3/2019,43619,3.059999943,2.74000001,2.980000019,2.960000038,51793000,2.960000038
6/4/2019,43620,3.109999895,2.970000029,3,3.039999962,30924000,3.039999962
6/5/2019,43621,3.089999914,2.75999999,3.069999933,2.829999924,38179100,2.829999924
6/6/2019,43622,2.900000095,2.539999962,2.900000095,2.650000095,54094300,2.650000095
6/7/2019,43623,2.809999943,2.549999952,2.640000105,2.75999999,31397900,2.75999999
6/10/2019,43626,2.819999933,2.589999914,2.75,2.630000114,35989100,2.630000114
6/11/2019,43627,2.670000076,2.549999952,2.670000076,2.609999895,33070100,2.609999895
6/12/2019,43628,2.619999886,2.5,2.619999886,2.549999952,30099500,2.549999952
6/13/2019,43629,2.619999886,2.5,2.549999952,2.519999981,21962600,2.519999981
6/14/2019,43630,2.450000048,2.349999905,2.440000057,2.420000076,27065700,2.420000076
6/17/2019,43633,2.529999971,2.349999905,2.390000105,2.460000038,20830100,2.460000038
6/18/2019,43634,2.710000038,2.450000048,2.519999981,2.529999971,50080800,2.529999971
6/19/2019,43635,2.839999914,2.559999943,2.670000076,2.74000001,43761900,2.74000001
6/20/2019,43636,3.049999952,2.799999952,2.869999886,2.829999924,55697200,2.829999924
6/21/2019,43637,2.900000095,2.569999933,2.880000114,2.640000105,49602400,2.640000105
6/24/2019,43640,2.690000057,2.50999999,2.609999895,2.640000105,22693900,2.640000105
6/25/2019,43641,2.660000086,2.549999952,2.640000105,2.599999905,16273100,2.599999905
6/26/2019,43642,2.730000019,2.539999962,2.640000105,2.549999952,20679300,2.549999952
6/27/2019,43643,2.619999886,2.440000057,2.50999999,2.599999905,27685600,2.599999905
6/28/2019,43644,2.630000114,2.50999999,2.599999905,2.549999952,17640300,2.549999952
7/1/2019,43647,2.680000067,2.579999924,2.670000076,2.599999905,19462800,2.599999905
7/2/2019,43648,2.849999905,2.569999933,2.599999905,2.819999933,35317300,2.819999933
7/3/2019,43649,3.289999962,2.900000095,2.930000067,3.130000114,75342400,3.130000114
7/5/2019,43651,3.339999914,3.150000095,3.309999943,3.25999999,35914600,3.25999999
7/8/2019,43654,3.5,3.130000114,3.210000038,3.49000001,40424000,3.49000001
7/9/2019,43655,3.900000095,3.420000076,3.579999924,3.690000057,87406100,3.690000057
7/10/2019,43656,4,3.599999905,3.950000048,3.680000067,85126100,3.680000067
7/11/2019,43657,3.680000067,3.319999933,3.640000105,3.420000076,57070300,3.420000076
7/12/2019,43658,3.640000105,3.319999933,3.339999914,3.450000048,39432200,3.450000048
7/15/2019,43661,3.519999981,3.339999914,3.49000001,3.390000105,19833100,3.390000105
7/16/2019,43662,3.450000048,3.25999999,3.400000095,3.299999952,25764600,3.299999952
7/17/2019,43663,3.519999981,3.25,3.279999971,3.440000057,26705000,3.440000057
7/18/2019,43664,3.5,3.309999943,3.470000029,3.430000067,17544400,3.430000067
7/19/2019,43665,3.480000019,3.359999895,3.430000067,3.369999886,13784300,3.369999886
7/22/2019,43668,3.450000048,3.309999943,3.380000114,3.380000114,12376900,3.380000114
7/23/2019,43669,3.49000001,3.369999886,3.430000067,3.460000038,12462000,3.460000038
7/24/2019,43670,3.75,3.440000057,3.450000048,3.670000076,38844800,3.670000076
7/25/2019,43671,3.720000029,3.5,3.680000067,3.5,26513300,3.5
7/26/2019,43672,3.619999886,3.5,3.559999943,3.50999999,15606300,3.50999999
7/29/2019,43675,3.579999924,3.319999933,3.549999952,3.460000038,25890700,3.460000038
7/30/2019,43676,3.440000057,3.349999905,3.430000067,3.380000114,14127900,3.380000114
7/31/2019,43677,3.529999971,3.359999895,3.380000114,3.470000029,19917200,3.470000029
8/1/2019,43678,3.50999999,3.200000048,3.450000048,3.279999971,28758400,3.279999971
8/2/2019,43679,3.329999924,3.160000086,3.210000038,3.269999981,17211300,3.269999981
8/5/2019,43682,3.140000105,2.849999905,3.140000105,2.950000048,38736200,2.950000048
8/6/2019,43683,3.140000105,3,3.089999914,3.079999924,23455700,3.079999924
8/7/2019,43684,3.089999914,2.930000067,3.039999962,3.089999914,18090400,3.089999914
8/8/2019,43685,3.25999999,3.109999895,3.130000114,3.170000076,20999800,3.170000076
8/9/2019,43686,3.180000067,3.099999905,3.099999905,3.130000114,10610000,3.130000114
8/12/2019,43689,3.109999895,2.960000038,3.049999952,3.049999952,13991200,3.049999952
8/13/2019,43690,3.200000048,3,3,3.150000095,18541900,3.150000095
8/14/2019,43691,3.079999924,2.880000114,3.079999924,2.900000095,28205900,2.900000095
8/15/2019,43692,2.99000001,2.769999981,2.99000001,2.819999933,15736000,2.819999933
8/16/2019,43693,3.00999999,2.859999895,2.890000105,2.950000048,15884200,2.950000048
8/19/2019,43696,3.099999905,3,3,3,13657100,3
8/20/2019,43697,3.210000038,3,3.059999943,3.160000086,16688200,3.160000086
8/21/2019,43698,3.269999981,3.019999981,3.230000019,3.049999952,21513600,3.049999952
8/22/2019,43699,3.089999914,3.00999999,3.059999943,3.019999981,12404300,3.019999981
8/23/2019,43700,3.039999962,2.890000105,2.970000029,2.920000076,13584500,2.920000076
8/26/2019,43703,2.950000048,2.829999924,2.950000048,2.900000095,14119000,2.900000095
8/27/2019,43704,3,2.829999924,2.920000076,2.910000086,20392000,2.910000086
8/28/2019,43705,2.920000076,2.829999924,2.900000095,2.839999914,10478000,2.839999914
8/29/2019,43706,2.930000067,2.849999905,2.910000086,2.849999905,12325800,2.849999905
8/30/2019,43707,2.910000086,2.839999914,2.900000095,2.859999895,8155400,2.859999895
9/3/2019,43711,2.829999924,2.579999924,2.819999933,2.599999905,26854400,2.599999905
9/4/2019,43712,2.75,2.640000105,2.700000048,2.75,15177900,2.75
9/5/2019,43713,3,2.799999952,2.809999943,2.950000048,23244700,2.950000048
9/6/2019,43714,3,2.869999886,2.99000001,2.980000019,14509300,2.980000019
9/9/2019,43717,3.140000105,2.930000067,3,3.140000105,17386300,3.140000105
9/10/2019,43718,3.329999924,3.069999933,3.130000114,3.319999933,20848800,3.319999933
9/11/2019,43719,3.329999924,3.160000086,3.279999971,3.269999981,13619900,3.269999981
9/12/2019,43720,3.269999981,3.099999905,3.24000001,3.190000057,10957800,3.190000057
9/13/2019,43721,3.269999981,3.150000095,3.220000029,3.210000038,8371700,3.210000038
9/16/2019,43724,3.210000038,3.089999914,3.150000095,3.119999886,12374900,3.119999886
9/17/2019,43725,3.180000067,3,3.109999895,3.180000067,12905800,3.180000067
9/18/2019,43726,3.210000038,3.029999971,3.210000038,3.079999924,12519200,3.079999924
9/19/2019,43727,3.160000086,3.079999924,3.119999886,3.099999905,8733200,3.099999905
9/20/2019,43728,3.160000086,3.019999981,3.140000105,3.039999962,11999300,3.039999962
